JOB PROFILE,TOOLS
staff accountant  ,intermediate microsoft office/excel skills required
inside sales representative,"inside sales representative', 'inside sales representative', 'microsoft, sales, solaas"
account executive  ,"account executive / sales', 'customer service, development, management, materials, networking, video', 'relationship building, cold calling, sales, new business development', 'it sales, account manager, account executive, sales it recruiter, hr, technical recruitment, resources manager, hiring manager, manager, it manager, recruiter manager, it staffing and consulting', 'selling skills, ""selling infrastructure technology solutions""', 'sales, saas, solution development, proposal delivery"
receptionist    ,"knowledge of microsoft word, excel and outlook"
senior accountant  ,"peoplesoft financials, accounting, financial reporting"
business analyst  ,"sql reporting services suite', 'access, analysis, analyst, application, business analyst, consulting, it, management, oracle, system, telecom', 'analysis, analyst, business analyst, business requirements, css, customer service, data analysis, data modeling, data warehouse, development, excel, hadoop, html, http, lifecycle, management, microsoft excel, modeling, pl/sql, postgresql, project, project management, research, sql', 'qa,microsoft office suite: word, powerpoint, visio, excel', 'business analyst mathematical abilities. ideal- actuarial knowledge, pricing, ratings', 'analyst, business analyst, case, development, management, qa, testing', 'user acceptance testing, test cases, risk analysis', 'business analysis, sdlc', '""business analysis"", medicaid, mita, testing, sdlc', 'business analyst, p&c insurance, sql, certified insurance counselor', 'agile, analyst, business analyst, salesforce', 'analyst, application, applications, business analyst, business requirements, development, it, java, management, project, risk management, systems', 'analyst, business analyst, c++, c#, c / c++, configuration management, crystal reports, database, development, embedded, embedded software, ims, iso, lifecycle, manager, management, networking, oracle, outlook, project, project manager, security, sql, surveillance, testing, video', 'business analyst', 'agile prior experience working with financial services/accounting/payments applications stellar communication skills sql', 'business, analyst, gather requirements, visio, documentation', 'business analyst, uat, process mapping', 'business analysis, clearing, settlement, margin, stock lending', 'business analyst cbap sap governance risk and compliance', 'business analysis, business analyst, documentation, project manager, project management, quality assurance, property and casualty insurance, insurance', 'business analyst, functional spec, business requirements, balsamiq, jira, bank, financial services', 'project management, business analysis, business requirements/specifications', 'business analysis, requirements gathering, brd, use case', 'see job description', '(fixed income over 1 year(s) or derivatives over 1 year(s) ) and(sql over 1 year(s) or plsql over 1 year(s) or pl / sql over 1 year(s) ) and(intex or cmo or collateralized mortgage obligation )', 'business analyst', 'business analyst, contract management', 'business analyst', 'annual, documentation, manual', 'analyst, business analyst', 'analysis, analyst, analytical skills, business analyst, business requirements, data analysis, edi, erp, excel, manager, management, project, project manager, sql, supply chain', 'business analyst sql sharepoint', 'analyst, business analyst, business requirements, development, management, programming, project, sql, sql server', 'analyst, business analyst, business requirements, programming, project, sql, sql server, supply chain', 'business analysis, project management, microsoft analysis tools, sql - business analysis, project management, microsoft analysis tools, sql', 'analysis, analyst, business analyst, business requirements, development, management, scrum', 'functional analyst', 'jad sessions, some java, use cases, business integration', 'business analyst', 'business analyst, sql', 'analysis, analyst, business analyst, business requirements, change management, content management, development, ecommerce, excel, hardware, management, mobile development, outlook, powerpoint, research, salesforce, supervision', 'business analysis, systems analysis, requirements, data mapping, etl, sql', 'business analyst, workers comp claims guidewire', 'excellent communication skills, understanding retail, customer facing experience', 'business analysis requirement gathering documentation medicaid', 'accounting, analysis, analyst, business analyst, consulting, customer service, data mining, excel, management, materials, powerpoint, project, research, security', 'analysis, analyst, architecture, business analyst, business requirements, data analysis, database, development, excel, manager, management, materials, metrics, program manager, programming, project, project management, qa, qa testing, quality assurance, release, risk management, specification, sql, testing, validation', 'accounting, analysis, analyst, business analyst, consulting, customer service, data mining, excel, management, materials, powerpoint, project, research, security', 'srf. business analyst, wire frames, sql server', 'filenet, ecm, content management', 'mca testing, manager control assessment, compliance, audit, marketing, strategic marketing, creative marketing', 'business analyst, requirements engineer, senior business analyst, requirements analyst', 'business analyst, analytics, data, sales, marketing', 'business analyst, sas, sas macros, healthcare, pharmaceutical', 'sql; excel; powerpoint; marketing industry experience; merchant data a plus', 'fixed income; sql; data extraction', 'business analysis,counterparty credit risk, basel ii/iii', 'see job description', 'requirement gathering, business analyst', 'access, analyst, business analyst, edi, excel, management, outlook, project, research', '(rdms or regulatory document management or document management ) and(business analyst ) and (pharmaceutical )', 'business analyst, (healthcare, insurance or financial industry experience) , gap analysis, use cases, test plans', 'brd,agile,waterfall,business requirement document,', 'liferay, openbravo, salesforce, and genesys. the primary responsibilities are (1) business and technical requirements gathering; and (2) business process documentation with recommendations for improv', 'gather business requirement, technical, databases, test cases', 'business analyst', 'mmis', 'brd,agile,waterfall,business requirement document,', 'java script & json', 'java script & json', 'please refer to job description', ""bachelor's degree 5+ years of experience in business analyst roles"", 'business analyst', 'business analyst', 'business, analysis, automated, business requirements, consultant, cost, design, develop, developing, development, engineer, liaison, organization, planner, planning, procedures, process, processes, quality, requirement, requirements, specifications,', 'business analyst with documentation background', 'analyst, business analyst, testing', 'business, analyst, finance, trade, regulatory, agile', 'airline, itil, hp service manager, hp asset manager, hp ucmdb', 'business analyst, agile, sql, testing experience, benefit and payment configuration', 'business, analyst, it, mis, business, query, data', 'business analyst, pivot, spanish', 'business analyst, communication, ooad, bpm', 'business analysis, data migration, erp', 'business analysis, fixed income, risk, rates, mortgages or muncipal bonds', 'business analyst', 'business analyst', 'f2b process related to corp act, swift messages, swift,test cases', 'business analysis, agile', 'erp, oracle, project management', 'business analysis, agile', 'ecommerce and supply chain', 'business analyst, agile, healthcare data, analytics', 'hybris, demandware, magento', 'business analyst, gathering requirements, collaboration', 'business analysis, salesforce.com', 'sdlc, cmmi, test cases,project management methodology (pmm), sql, toad, agile and waterfall', 'oracle, business process flows, uml diagrams, use case documentation, sequence diagrams, agile user story documentation, api documentation, java', 'agile, waterfall & iterative waterfall methodologies,visual representation tools like visio & powerpoint, excellent communication skills', 'business analysis, crs, agile', 'analysis, design, testing', 'business analyst', 'business analyst product, ba, business analyst, sdlc, management, communication, project management', 'business analyst', 'diagramming dataflow', 'sr business analyst', 'ux, requirements, technical writing, business analysis', 'business analyst, testing, and validation,', 'ibba', 'business analysis and aml experience required', 'iiba', 'business analyis, tableau, ms access, sql, healthcare, sql, access, finance', 'cams, peoplesoft integration experience, oci, ada', '(business analyst or business system analyst ) and(ecommerce or e-commerce or retail ) and(sterling order managemet or sterling ) and(integration )', 'business analyst, process flow analysis, activity analysis,esd, srs,', 'business analyst, data analytics', 'business analysis, stage 2 alternatives analysis"
restaurant manager  ,
account representative  ,
retail sales associate,
sales representative /,
retail wireless sales,
sales management trainee,
jani-king franchise business,
own your own,
cashier    ,
sales / franchise,
customer service -,
mobile tool sales,
benefits consultant  ,
sales / customer,
automation test engineer,see below
information security engineer,"linux/unix, network monitoring, incident response, systems administration, security accessment', 'cissp, management, protocols, routers, security, switches, testing', 'minimum requirements: at least 3 years experience within a medium to large organization specifically in information security in a windows, unix or macintosh environment[del: . :del] at least 2 yea', 'splunk and siem exposure, ibm appscan,arcot proxy & arcot webfort, security on demand (cloud siem)', 'linux, risk management, cissp, security', 'logrhythm, siem, information security', 'it security, linux, windows, security protocols, agile', 'customer service, management, project, project management, security', 'information security engineer', 'information security', 'information security, burp suite, kali linux, oscp"
business solutions architect,"enterprise solutions architecture, business inteligence, reports, reporting', 'process engineering, lending/ mortgage background preferred"
java developer (mid,please see job description
devops engineer  ,"configuration management, developer, linux, management, process engineering, vmware', 'aws, devops, sysops, full stack, web development, amazon web services, php programmer, software engineer, systems architect, mysql, linux, ubuntu, apache, css, jquery, json, saas', 'devops, infrastructure, puppet, chef, systems, engineer, it, software, development, perl, java, python, c, c#, c++, oracle, javascript, google, amazon, aws, google', 'java, tomcat, apache/nginx, php, ruby, sql, mysql, nosql, php, python, json, perl and/or ruby', '3-7 years of experience with coding or scripting languages with at least two of the following (shell, ruby/jruby, perl, python, powershell, java, go, bash).', 'aws,python, shell, cicd,puppet, chef,', 'chef, puppet', 'lead developer operations engineer', 'aws, ec2, rds, route53, docker, microservices, jenkins, linux, bash, agile, drone.io, elk, python, rancher, pfsense, node.js, ldap, networking, iptables', 'accounting, architecture, css, database, development, disaster recovery, exchange, html, javascript, linux, management, mysql, mysql, nosql, perl, powershell, qa, ruby, salesforce, sdlc, security, shell scripting, windows', 'powershell, azure, vmware, windows os', 'devops, ansible, atlassian, jenkins, jira, confluence, system admin, cloud, automation, agile, product development, saas, paas', 'devops, aws, ec2, s3, sqs, cloudwatch, opsworks, agile, soa, linux', 'devops, linux, windows, shell, vcs/scm, http, lamp', 'required skills and experience * at least 5 years experience in software development or technical operations with extensive hands-on experience building, deploying, and scaling high availability', 'devops engineer', 'devops engineer', 'ci/cd pipeline, chef, jenkins, nexus, jira,git, agile, linux', 'agile, automated, configuration management, development, genetic, git, hadoop, linux, management, mongodb, nosql, testing', 'vmware, chef, automation, windows systems administration, powershell, working knowledge of sql and relational databases - vmware, chef, automation, windows systems administration, powershell, working knowledge of sql and relational databases', 'devops, ansible, atlassian, jenkins, jira, confluence, system admin, cloud, automation, agile, product development, saas, paas', 'aws, python, powershell, bash - aws, python, powershell, bash', 'vue. js, redis, oracle db, jboss, linux, java, big data, hdfs, hadoop, sass, gulp, npm, soap/rest, ajax, html5, lamp', 'devops, perl, python, bash, shell, unix, linux, sql, production engineering', 'build release, devops, java, continuous integration, linux', 'devops toscaling, cloudwatch, cloudformation, cloudtrail, dynamodb, s3, api gateway, lambda, etc.) and/or azure.', 'amazon web services, jenkins/travis, sensu/nagios, dod fedramp, nist 800', 'devops engineer', 'devops', 'python, ruby, perl, java , jenkins, builtbot or cruisecontrol.', 'linux, devops', 'experience with cloud based technologies and deployment including amazon web services, ldap administration, web based application technology stacks and databases.', 'devops, engineer, linux, iaas, paas, java, python, ruby, shell, programming, git, mercurial', 'devops engineer', 'apache, linux, python, ruby, security, openstack, docker', 'agile, cloud, aws, vmware, devops', 'devops engineer', 'java, json, javascript, html, linux bash shell scripting, maven deployments, jenkins, unix administration, docker', 'devops, engineer, cloud, chef, aws, bamboo, jenkings, source control, python, shell, perl', 'java, puppet, hiera, git, aws, docker, mongodb, postgresql, foreman, jenkins, jira/atlassian suite, redhat/centos linux systems administration, agile, scrum', 'cloud, devops, aws, chef, puppet, ansible, jira, linux, unix', 'devops, python, perl', 'devops, root cause analysis, incident management, change management, source code control, jenkins, maven, tfs, team foundation server, java, .net, iis, websphere application server, infosphere', 'devops chef puppet github perforce maven jenkins java ruby python nodejs tomcat jboss', 'devops build management software deployment release management', 'linux, sql, bash, batch, python, vbscript, active directory', '3-7 years of experience with coding or scripting languages with at least two of the following (shell, ruby/jruby, perl, python, powershell, java, go, bash).', 'devops, chef, puppet, aws/cloud, java', 'devops', 'aws, devops', 'devops', 'devops, python, hadoop, aws', 'devops, qa, automation, git, jenkins, bamboo, microsoft, linux', 'devops, aws, puppets, jenkins, git, linux/unix', 'gerrit, code collaborator, review board, jira, scm git, svn, cvs', 'chef, puppet, linux, aws, scripting, networking', 'devops, cloud , java , j2ee, chef , puppet , python , perl , php', 'go, python, javascript, continuous integration tools, linux/unix', 'devops, aws,', 'chef, puppet, ruby"
sap fico architect,"fico, ar, ap, asset management, haha"
